    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    68.297986    30.238684    -3.996631    -2.870605     0.020000
    66.364375    25.562383    -2.970166    -2.870605     0.020000
    68.320079    30.533397    -3.996631    -2.539551     0.020000
    68.320079    30.533397    -3.996631    -2.539551     0.020000
    66.364375    25.562383    -2.970166    -2.870605     0.020000
    66.609276    28.270738    -2.970166    -2.539551     0.020000
    67.290987    30.444384    -2.846631    -1.370605     0.020000
    57.348082    27.350056    -1.820166    -1.370605     0.020000
    67.733153    30.584201    -2.846631    -1.039551     0.020000
    67.733153    30.584201    -2.846631    -1.039551     0.020000
    57.348082    27.350056    -1.820166    -1.370605     0.020000
    60.947112    28.720893    -1.820166    -1.039551     0.020000
    42.337448     0.007018    -2.271631    -3.620605     0.020000
    67.330702    22.599088    -3.545166    -3.620605     0.020000
    50.680974     2.129721    -2.271631    -3.289551     0.020000
    50.680974     2.129721    -2.271631    -3.289551     0.020000
    67.330702    22.599088    -3.545166    -3.620605     0.020000
    67.743439    27.100789    -3.545166    -3.289551     0.020000
    67.914692    30.411305    -3.421631    -2.120605     0.020000
    62.761808    27.104321    -2.395166    -2.120605     0.020000
    68.021712    30.586930    -3.421631    -1.789551     0.020000
    68.021712    30.586930    -3.421631    -1.789551     0.020000
    62.761808    27.104321    -2.395166    -2.120605     0.020000
    63.720130    28.782699    -2.395166    -1.789551     0.020000
    62.223204     6.836204    -3.134131    -3.995605     0.020000
    40.662300     0.001377    -2.107666    -3.995605     0.020000
    67.351064    30.002186    -3.134131    -2.164551     0.020000
    67.351064    30.002186    -3.134131    -2.164551     0.020000
    40.662300     0.001377    -2.107666    -3.995605     0.020000
    58.048079    23.564342    -2.107666    -2.164551     0.020000
    53.719608    15.092355    -1.984131    -2.495605     0.020000
    67.525922    29.579607    -3.257666    -2.495605     0.020000
    39.064438     0.000968    -1.984131    -3.664551     0.020000
    39.064438     0.000968    -1.984131    -3.664551     0.020000
    67.525922    29.579607    -3.257666    -2.495605     0.020000
    65.937082    16.049388    -3.257666    -3.664551     0.020000
    61.318813    11.032233    -2.559131    -3.245605     0.020000
    63.156090    14.180852    -2.682666    -3.245605     0.020000
    66.070171    30.080123    -2.559131    -1.414551     0.020000
    66.070171    30.080123    -2.559131    -1.414551     0.020000
    63.156090    14.180852    -2.682666    -3.245605     0.020000
    66.657293    30.252426    -2.682666    -1.414551     0.020000
