    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    67.333901    30.563800    -4.495898    -2.870605     0.020000
    55.209789    27.112726    -3.246289    -2.870605     0.020000
    67.532318    30.668915    -4.495898    -2.539551     0.020000
    67.532318    30.668915    -4.495898    -2.539551     0.020000
    55.209789    27.112726    -3.246289    -2.870605     0.020000
    58.165151    28.828718    -3.246289    -2.539551     0.020000
    66.903407    30.557997    -3.095898    -1.370605     0.020000
    50.042991    26.906393    -1.846289    -1.370605     0.020000
    67.559913    30.660574    -3.095898    -1.039551     0.020000
    67.559913    30.660574    -3.095898    -1.039551     0.020000
    50.042991    26.906393    -1.846289    -1.370605     0.020000
    58.361622    28.664632    -1.846289    -1.039551     0.020000
     0.779027     0.012633    -2.395898    -3.620605     0.020000
    55.408484    26.421535    -3.946289    -3.620605     0.020000
     2.466809     1.007319    -2.395898    -3.289551     0.020000
     2.466809     1.007319    -2.395898    -3.289551     0.020000
    55.408484    26.421535    -3.946289    -3.620605     0.020000
    57.158600    28.541689    -3.946289    -3.289551     0.020000
    66.780377    30.558047    -3.795898    -2.120605     0.020000
    48.995849    26.928576    -2.546289    -2.120605     0.020000
    67.535792    30.674145    -3.795898    -1.789551     0.020000
    67.535792    30.674145    -3.795898    -1.789551     0.020000
    48.995849    26.928576    -2.546289    -2.120605     0.020000
    58.194502    28.911538    -2.546289    -1.789551     0.020000
    33.192730    13.852587    -3.445898    -3.995605     0.020000
     0.494615     0.002349    -2.196289    -3.995605     0.020000
    64.824488    30.232063    -3.445898    -2.164551     0.020000
    64.824488    30.232063    -3.445898    -2.164551     0.020000
     0.494615     0.002349    -2.196289    -3.995605     0.020000
    32.703021    21.751927    -2.196289    -2.164551     0.020000
    11.154779     9.496503    -2.045898    -2.495605     0.020000
    63.668748    29.977777    -3.596289    -2.495605     0.020000
     0.304788     0.001017    -2.045898    -3.664551     0.020000
     0.304788     0.001017    -2.045898    -3.664551     0.020000
    63.668748    29.977777    -3.596289    -2.495605     0.020000
    43.312706    21.221101    -3.596289    -3.664551     0.020000
    11.926164     9.140094    -2.745898    -3.245605     0.020000
    17.994648    13.384886    -2.896289    -3.245605     0.020000
    65.106036    30.237063    -2.745898    -1.414551     0.020000
    65.106036    30.237063    -2.745898    -1.414551     0.020000
    17.994648    13.384886    -2.896289    -3.245605     0.020000
    65.979716    30.395844    -2.896289    -1.414551     0.020000
    67.908378    30.737249    -4.145898    -1.745605     0.020000
    67.984507    30.749933    -4.296289    -1.745605     0.020000
    66.294728    30.256857    -4.145898    -2.914551     0.020000
    66.294728    30.256857    -4.145898    -2.914551     0.020000
    67.984507    30.749933    -4.296289    -1.745605     0.020000
    66.836012    30.409336    -4.296289    -2.914551     0.020000
    56.712742    27.904807    -3.970898    -3.433105     0.020000
    21.494605    13.548381    -3.071289    -3.433105     0.020000
    55.453045    25.078990    -3.970898    -3.852051     0.020000
    55.453045    25.078990    -3.970898    -3.852051     0.020000
    21.494605    13.548381    -3.071289    -3.433105     0.020000
    13.251212     4.781301    -3.071289    -3.852051     0.020000
    56.396446    28.412644    -2.570898    -1.933105     0.020000
    67.997320    30.750251    -4.471289    -1.933105     0.020000
    41.763602    24.823887    -2.570898    -2.352051     0.020000
    41.763602    24.823887    -2.570898    -2.352051     0.020000
    67.997320    30.750251    -4.471289    -1.933105     0.020000
    67.681187    30.701814    -4.471289    -2.352051     0.020000
     1.420596     0.917390    -1.870898    -2.683105     0.020000
    20.974197    14.786355    -2.371289    -2.683105     0.020000
     0.401686     0.023985    -1.870898    -3.102051     0.020000
     0.401686     0.023985    -1.870898    -3.102051     0.020000
    20.974197    14.786355    -2.371289    -2.683105     0.020000
     4.113211     3.091148    -2.371289    -3.102051     0.020000
    67.609665    30.676956    -3.270898    -1.183105     0.020000
    67.991583    30.747840    -3.771289    -1.183105     0.020000
    66.748049    30.541001    -3.270898    -1.602051     0.020000
    66.748049    30.541001    -3.270898    -1.602051     0.020000
    67.991583    30.747840    -3.771289    -1.183105     0.020000
    67.714790    30.704831    -3.771289    -1.602051     0.020000
    53.169502    28.009527    -3.620898    -3.058105     0.020000
    62.685917    29.890638    -4.121289    -3.058105     0.020000
    67.892509    30.730314    -3.620898    -1.227051     0.020000
    67.892509    30.730314    -3.620898    -1.227051     0.020000
    62.685917    29.890638    -4.121289    -3.058105     0.020000
    68.081504    30.764705    -4.121289    -1.227051     0.020000
    55.637368    28.359977    -2.220898    -1.558105     0.020000
    63.765398    30.008335    -2.721289    -1.558105     0.020000
    12.065034     9.065629    -2.220898    -2.727051     0.020000
    12.065034     9.065629    -2.220898    -2.727051     0.020000
    63.765398    30.008335    -2.721289    -1.558105     0.020000
    37.571225    22.044529    -2.721289    -2.727051     0.020000
     7.107125     1.800672    -2.920898    -3.808105     0.020000
    33.492823    15.292358    -3.421289    -3.808105     0.020000
    62.138036    29.612792    -2.920898    -1.977051     0.020000
    62.138036    29.612792    -2.920898    -1.977051     0.020000
    33.492823    15.292358    -3.421289    -3.808105     0.020000
    66.165980    30.409159    -3.421289    -1.977051     0.020000
    67.539211    30.679559    -4.320898    -2.308105     0.020000
    17.461250    14.126627    -2.021289    -2.308105     0.020000
    62.532457    29.338101    -4.320898    -3.477051     0.020000
    62.532457    29.338101    -4.320898    -3.477051     0.020000
    17.461250    14.126627    -2.021289    -2.308105     0.020000
     0.350727     0.002915    -2.021289    -3.477051     0.020000
    61.010029    28.053061    -4.233398    -3.714355     0.020000
    63.004128    28.825314    -4.383789    -3.714355     0.020000
    68.041449    30.759099    -4.233398    -1.508301     0.020000
    68.041449    30.759099    -4.233398    -1.508301     0.020000
    63.004128    28.825314    -4.383789    -3.714355     0.020000
    68.078761    30.765389    -4.383789    -1.508301     0.020000
    54.848363    28.302187    -2.833398    -2.214355     0.020000
    58.272616    29.018685    -2.983789    -2.214355     0.020000
    23.695150    17.677396    -2.833398    -3.008301     0.020000
    23.695150    17.677396    -2.833398    -3.008301     0.020000
    58.272616    29.018685    -2.983789    -2.214355     0.020000
    30.652706    20.987844    -2.983789    -3.008301     0.020000
     2.970609     1.596186    -2.133398    -2.964355     0.020000
    62.855387    29.152544    -3.683789    -2.964355     0.020000
    25.292714    18.465960    -2.133398    -2.258301     0.020000
    25.292714    18.465960    -2.133398    -2.258301     0.020000
    62.855387    29.152544    -3.683789    -2.964355     0.020000
    65.765265    30.389165    -3.683789    -2.258301     0.020000
    67.593002    30.682243    -3.533398    -1.464355     0.020000
    58.973637    29.048705    -2.283789    -1.464355     0.020000
