    K_f          mu_f          f            Kp
    68.576501    30.803894     0.000000     0.020000
    68.570312    30.802091     0.003311     0.020000
    68.564085    30.800277     0.006622     0.020000
    68.557820    30.798451     0.009933     0.020000
    68.551516    30.796613     0.013244     0.020000
    68.545174    30.794762     0.016555     0.020000
    68.538792    30.792900     0.019866     0.020000
    68.532371    30.791025     0.023177     0.020000
    68.525909    30.789138     0.026488     0.020000
    68.519408    30.787238     0.029799     0.020000
    68.512866    30.785325     0.033110     0.020000
    68.506283    30.783400     0.036421     0.020000
    68.499658    30.781462     0.039732     0.020000
    68.492991    30.779510     0.043043     0.020000
    68.486282    30.777546     0.046355     0.020000
    68.479531    30.775568     0.049666     0.020000
    68.472736    30.773577     0.052977     0.020000
    68.465898    30.771572     0.056288     0.020000
    68.459016    30.769553     0.059599     0.020000
    68.452090    30.767520     0.062910     0.020000
    68.445119    30.765474     0.066221     0.020000
    68.438103    30.763413     0.069532     0.020000
    68.431041    30.761338     0.072843     0.020000
    68.423933    30.759248     0.076154     0.020000
    68.416779    30.757143     0.079465     0.020000
    68.409578    30.755024     0.082776     0.020000
    68.402329    30.752890     0.086087     0.020000
    68.395032    30.750741     0.089398     0.020000
    68.387687    30.748576     0.092709     0.020000
    68.380293    30.746397     0.096020     0.020000
    68.372850    30.744201     0.099331     0.020000
    68.365356    30.741990     0.102642     0.020000
    68.357813    30.739762     0.105953     0.020000
    68.350218    30.737519     0.109264     0.020000
    68.342572    30.735259     0.112575     0.020000
    68.334875    30.732983     0.115886     0.020000
    68.327124    30.730691     0.119197     0.020000
    68.319321    30.728381     0.122508     0.020000
    68.311464    30.726054     0.125819     0.020000
    68.303554    30.723711     0.129130     0.020000
    68.295588    30.721349     0.132441     0.020000
    68.287567    30.718971     0.135753     0.020000
    68.279491    30.716574     0.139064     0.020000
    68.271358    30.714159     0.142375     0.020000
    68.263168    30.711727     0.145686     0.020000
    68.254921    30.709275     0.148997     0.020000
    68.246616    30.706806     0.152308     0.020000
    68.238251    30.704317     0.155619     0.020000
