    K_f          mu_f          f            Kp
    68.257158    30.803894     0.000000     0.020000
    68.249759    30.802080     0.003311     0.020000
    68.242313    30.800253     0.006622     0.020000
    68.234818    30.798415     0.009933     0.020000
    68.227274    30.796564     0.013244     0.020000
    68.219682    30.794702     0.016555     0.020000
    68.212040    30.792826     0.019866     0.020000
    68.204348    30.790939     0.023177     0.020000
    68.196605    30.789039     0.026488     0.020000
    68.188811    30.787126     0.029799     0.020000
    68.180966    30.785200     0.033110     0.020000
    68.173068    30.783261     0.036421     0.020000
    68.165118    30.781309     0.039732     0.020000
    68.157115    30.779344     0.043043     0.020000
    68.149058    30.777366     0.046355     0.020000
    68.140947    30.775374     0.049666     0.020000
    68.132781    30.773368     0.052977     0.020000
    68.124560    30.771348     0.056288     0.020000
    68.116283    30.769315     0.059599     0.020000
    68.107949    30.767267     0.062910     0.020000
    68.099559    30.765205     0.066221     0.020000
    68.091111    30.763129     0.069532     0.020000
    68.082604    30.761038     0.072843     0.020000
    68.074039    30.758933     0.076154     0.020000
    68.065415    30.756813     0.079465     0.020000
    68.056730    30.754677     0.082776     0.020000
    68.047985    30.752527     0.086087     0.020000
    68.039178    30.750361     0.089398     0.020000
    68.030309    30.748180     0.092709     0.020000
    68.021378    30.745983     0.096020     0.020000
    68.012384    30.743770     0.099331     0.020000
    68.003325    30.741541     0.102642     0.020000
    67.994202    30.739296     0.105953     0.020000
    67.985014    30.737034     0.109264     0.020000
    67.975759    30.734756     0.112575     0.020000
    67.966438    30.732462     0.115886     0.020000
    67.957049    30.730150     0.119197     0.020000
    67.947592    30.727822     0.122508     0.020000
    67.938066    30.725476     0.125819     0.020000
    67.928471    30.723112     0.129130     0.020000
    67.918805    30.720731     0.132441     0.020000
    67.909067    30.718332     0.135753     0.020000
    67.899258    30.715915     0.139064     0.020000
    67.889375    30.713480     0.142375     0.020000
    67.879419    30.711026     0.145686     0.020000
    67.869389    30.708554     0.148997     0.020000
    67.859283    30.706062     0.152308     0.020000
    67.849101    30.703552     0.155619     0.020000
    67.838842    30.701022     0.158930     0.020000
    67.828505    30.698472     0.162241     0.020000
    67.818089    30.695903     0.165552     0.020000
    67.807593    30.693314     0.168863     0.020000
    67.797017    30.690704     0.172174     0.020000
    67.786359    30.688074     0.175485     0.020000
    67.775619    30.685423     0.178796     0.020000
    67.764795    30.682751     0.182107     0.020000
    67.753887    30.680058     0.185418     0.020000
    67.742893    30.677344     0.188729     0.020000
    67.731812    30.674607     0.192040     0.020000
    67.720645    30.671849     0.195351     0.020000
    67.709388    30.669068     0.198662     0.020000
    67.698042    30.666265     0.201973     0.020000
    67.686606    30.663439     0.205284     0.020000
    67.675077    30.660590     0.208595     0.020000
    67.663456    30.657717     0.211906     0.020000
    67.651741    30.654821     0.215217     0.020000
    67.639930    30.651901     0.218528     0.020000
    67.628023    30.648956     0.221839     0.020000
    67.616019    30.645987     0.225151     0.020000
    67.603916    30.642993     0.228462     0.020000
    67.591713    30.639974     0.231773     0.020000
    67.579409    30.636929     0.235084     0.020000
    67.567003    30.633858     0.238395     0.020000
    67.554493    30.630761     0.241706     0.020000
    67.541878    30.627638     0.245017     0.020000
    67.529156    30.624488     0.248328     0.020000
    67.516327    30.621310     0.251639     0.020000
    67.503389    30.618105     0.254950     0.020000
    67.490340    30.614872     0.258261     0.020000
    67.477179    30.611611     0.261572     0.020000
    67.463905    30.608321     0.264883     0.020000
    67.450517    30.605002     0.268194     0.020000
    67.437012    30.601654     0.271505     0.020000
